_id,Ano,Codigo,Inep,Escola,Municipio,Localizacao,Situacao,Endereco,Numero,Bairro,Cep,Telefone,Email,TipoEnsino,idTipoEnsino,NivelOrganizacional,IdEscola,Id
1,2010,3203130,32080204,CEET - TALMO LUIZ SILVA,JOAO NEIVA,URBANA,Em Atividade,RUA PADRE ANCHIETA,250,VILA NOVA DE CIMA,29680000,(27) - 32583451,ESCOLATALMOLUIZ@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,60,5182074
2,2009,3203130,32080204,CEET - TALMO LUIZ SILVA,JOAO NEIVA,URBANA,Em Atividade,RUA PADRE ANCHIETA,250,VILA NOVA DE CIMA,29680000,(27) - 32583451,ESCOLATALMOLUIZ@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,60,5182075
3,2011,3205002,32065264,EEEFM - FRANCISCA PEIXOTO MIGUEL,SERRA,URBANA,Em Atividade,RUA ACUCENA,"",SERRA DOURADA II,29171217,() - ,ESCOLAFRANCISCA@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,61,5182076
4,2010,3205002,32037473,EEEF - VIRGINIO PEREIRA,SERRA,URBANA,Em Atividade,AVENIDA EDVALDO LIMA,"",NOVA ALMEIDA CENTRO,29182050,(27) - 32532017,ESCOLAVIRGINIO@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,62,5182077
5,2012,3205002,32065370,EEEFM - PROF MARIA OLINDA DE OLIVEIRA MENEZES,SERRA,URBANA,Em Atividade,AVENIDA ARABIAS,"",CIDADE CONTINENTAL-SETOR AFRICA,29163480,(27) - 32412040,ESCOLAMARIAOLINDA@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,63,5182078
6,2010,3205002,32065370,EEEFM - PROF MARIA OLINDA DE OLIVEIRA MENEZES,SERRA,URBANA,Em Atividade,AVENIDA ARABIAS,"",CIDADE CONTINENTAL-SETOR AFRICA,29163480,(27) - 32412040,ESCOLAMARIAOLINDA@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,63,5182079
7,2014,3205002,32065370,EEEFM - PROF MARIA OLINDA DE OLIVEIRA MENEZES,SERRA,URBANA,Em Atividade,AVENIDA ARABIAS,"",CIDADE CONTINENTAL-SETOR AFRICA,29163480,(27) - 32412040,ESCOLAMARIAOLINDA@SEDU.ES.GOV.BR,ATIVIDADE COMPLEMENTAR,9,Estadual,63,5182080
8,2010,3205002,32036477,EEEFM - MARIA JOSE ZOUAIN DE MIRANDA,SERRA,URBANA,Em Atividade,AVENIDA GUARAPARI,"",JARDIM LIMOEIRO,29164120,(27) - 32282099,ESCOLAMARIAJOSE@SEDU.ES.GOV.BR,ENSINO MÉDIO,3,Estadual,64,5182081
9,2011,3205002,32036477,EEEFM - MARIA JOSE ZOUAIN DE MIRANDA,SERRA,URBANA,Em Atividade,AVENIDA GUARAPARI,"",JARDIM LIMOEIRO,29164120,(27) - 32282099,ESCOLAMARIAJOSE@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,64,5182082
10,2011,3205002,32036477,EEEFM - MARIA JOSE ZOUAIN DE MIRANDA,SERRA,URBANA,Em Atividade,AVENIDA GUARAPARI,"",JARDIM LIMOEIRO,29164120,(27) - 32282099,ESCOLAMARIAJOSE@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,64,5182083
11,2015,3205002,32035470,EEEF - PROFª ADEVALNI AZEVEDO,SERRA,URBANA,Em Atividade,AVENIDA VEREADOR JORGE CACULO,"",CAMPINHO DA SERRA II,29176970,() - ,ESCOLAADEVALNI@SEDU.ES.GOV.BR,ENSINO FUNDAMENTAL(8),2,Estadual,65,5182084
12,2010,3205002,32035470,EEEF - PROFª ADEVALNI AZEVEDO,SERRA,URBANA,Em Atividade,AVENIDA VEREADOR JORGE CACULO,"",CAMPINHO DA SERRA II,29176970,() - ,ESCOLAADEVALNI@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,65,5182085
13,2011,3205002,32035500,EEEF - PROF JOAO ANTUNES DAS DORES,SERRA,URBANA,Em Atividade,ALAMEDA DOS ESTUDANTES,"",PLANALTO SERRANO BLOCO A,29176970,(27) - 32918630,ESCOLAJOAOANTUNES@SEDU.ES.GOV.BR,ENSINO FUNDAMENTAL(8),2,Estadual,66,5182086
14,2014,3205002,32035500,EEEF - PROF JOAO ANTUNES DAS DORES,SERRA,URBANA,Em Atividade,ALAMEDA DOS ESTUDANTES,"",PLANALTO SERRANO BLOCO A,29176970,(27) - 32918630,ESCOLAJOAOANTUNES@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,66,5182087
15,2014,3205002,32035500,EEEF - PROF JOAO ANTUNES DAS DORES,SERRA,URBANA,Em Atividade,ALAMEDA DOS ESTUDANTES,"",PLANALTO SERRANO BLOCO A,29176970,(27) - 32918630,ESCOLAJOAOANTUNES@SEDU.ES.GOV.BR,EDUCAÇÃO ESPECIAL,7,Estadual,66,5182088
16,2015,3205002,32035500,EEEF - PROF JOAO ANTUNES DAS DORES,SERRA,URBANA,Em Atividade,ALAMEDA DOS ESTUDANTES,"",PLANALTO SERRANO BLOCO A,29176970,(27) - 32918630,ESCOLAJOAOANTUNES@SEDU.ES.GOV.BR,EDUCAÇÃO ESPECIAL,7,Estadual,66,5182089
17,2010,3205002,32035527,EEEFM - CLOVIS BORGES MIGUEL,SERRA,URBANA,Em Atividade,RUA ESTUDANTES,"",SANTO ANTONIO,29178679,(27) - 32510764,ESCOLACLOVIS@SEDU.ES.GOV.BR,ENSINO MÉDIO,3,Estadual,68,5182090
18,2014,3205002,32035527,EEEFM - CLOVIS BORGES MIGUEL,SERRA,URBANA,Em Atividade,RUA ESTUDANTES,"",SANTO ANTONIO,29178679,(27) - 32510764,ESCOLACLOVIS@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,68,5182091
19,2015,3205309,32040695,EEEFM - AFLORDIZIO CARVALHO DA SILVA,VITORIA,URBANA,Em Atividade,RUA RUBENS BLEY,100,DA PENHA,29047170,(27) - 30979336,ESCOLAAFLORDIZIO@SEDU.ES.GOV.BR,ENSINO FUNDAMENTAL(8),2,Estadual,70,5182092
20,2009,3205309,32040717,EEEFM - DESEMBARGADOR CARLOS XAVIER PAES BARRETO,VITORIA,URBANA,Em Atividade,AVENIDA LEITAO DA SILVA,"",PRAIA DO SUA,29052110,(27) - 32276942,ESCOLAPAESBARRETO@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,71,5182093
21,2009,3205309,32040717,EEEFM - DESEMBARGADOR CARLOS XAVIER PAES BARRETO,VITORIA,URBANA,Em Atividade,AVENIDA LEITAO DA SILVA,"",PRAIA DO SUA,29052110,(27) - 32276942,ESCOLAPAESBARRETO@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,71,5182094
22,2014,3205309,32040717,EEEFM - DESEMBARGADOR CARLOS XAVIER PAES BARRETO,VITORIA,URBANA,Em Atividade,AVENIDA LEITAO DA SILVA,"",PRAIA DO SUA,29052110,(27) - 32276942,ESCOLAPAESBARRETO@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,71,5182095
23,2010,3205309,32040717,EEEFM - DESEMBARGADOR CARLOS XAVIER PAES BARRETO,VITORIA,URBANA,Em Atividade,AVENIDA LEITAO DA SILVA,"",PRAIA DO SUA,29052110,(27) - 32276942,ESCOLAPAESBARRETO@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,71,5182096
24,2010,3205309,32040717,EEEFM - DESEMBARGADOR CARLOS XAVIER PAES BARRETO,VITORIA,URBANA,Em Atividade,AVENIDA LEITAO DA SILVA,"",PRAIA DO SUA,29052110,(27) - 32276942,ESCOLAPAESBARRETO@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,71,5182097
25,2015,3205309,32040733,EEEFM - MARIA ORTIZ,VITORIA,URBANA,Em Atividade,RUA FRANCISCO ARAUJO,35,CENTRO,29015090,(27) - 32230282,ESCOLAMARIAORTIZ@SEDU.ES.GOV.BR,EDUCAÇÃO ESPECIAL,7,Estadual,73,5182098
26,2015,3205309,32040784,EEEM - PROF FERNANDO DUARTE RABELO - VITORIA,VITORIA,URBANA,Em Atividade,PRACA CRISTOVAO JAQUES,260,SANTA HELENA,29055070,(27) - 32359269,ESCOLADUARTERABELO@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,74,5182099
27,2011,3205309,32040784,EEEM - PROF FERNANDO DUARTE RABELO - VITORIA,VITORIA,URBANA,Em Atividade,PRACA CRISTOVAO JAQUES,260,SANTA HELENA,29055070,(27) - 32359269,ESCOLADUARTERABELO@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,74,5182100
28,2009,3205309,32040784,EEEM - PROF FERNANDO DUARTE RABELO - VITORIA,VITORIA,URBANA,Em Atividade,PRACA CRISTOVAO JAQUES,260,SANTA HELENA,29055070,(27) - 32359269,ESCOLADUARTERABELO@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,74,5182101
29,2011,3205309,32040784,EEEM - PROF FERNANDO DUARTE RABELO - VITORIA,VITORIA,URBANA,Em Atividade,PRACA CRISTOVAO JAQUES,260,SANTA HELENA,29055070,(27) - 32359269,ESCOLADUARTERABELO@SEDU.ES.GOV.BR,EDUCAÇÃO ESPECIAL,7,Estadual,74,5182102
30,2011,3205309,32040784,EEEM - PROF FERNANDO DUARTE RABELO - VITORIA,VITORIA,URBANA,Em Atividade,PRACA CRISTOVAO JAQUES,260,SANTA HELENA,29055070,(27) - 32359269,ESCOLADUARTERABELO@SEDU.ES.GOV.BR,EDUCAÇÃO PROFISSIONAL,6,Estadual,74,5182103
31,2014,3200607,32020023,EEEFM - PROF APARICIO ALVARENGA,ARACRUZ,URBANA,Em Atividade,AVENIDA AURELIO ALVARENGA,102,GUARANA,29195421,(27) - 32761375,ESCOLAAPARICIO@SEDU.ES.GOV.BR,ENSINO MÉDIO,3,Estadual,77,5182104
32,2014,3200607,32020023,EEEFM - PROF APARICIO ALVARENGA,ARACRUZ,URBANA,Em Atividade,AVENIDA AURELIO ALVARENGA,102,GUARANA,29195421,(27) - 32761375,ESCOLAAPARICIO@SEDU.ES.GOV.BR,EDUCAÇÃO DE JOVENS E ADULTOS,5,Estadual,77,5182105
33,2008,3205002,32036051,EEEFM - ANTONIO ENGRACIO DA SILVA,SERRA,URBANA,Em Atividade,RUA FLOR DE CACTUS,"",FEU ROSA,29172045,(27) - 32433792,ESCOLAANTONIO@SEDU.GOV.ES.BR,ENSINO FUNDAMENTAL(8),2,Estadual,78,5182106
