_id,LOGRADOURO,ZONA,SITUACFISI,DATA,TELEFONE,GEOCODIGO,FONTE,ADMINISTRA,NUMERO,OPERACION,CLASSECNAE,MUNICIPIO,BAIRRO,NOMEABREV,SIGLAEXTEN,NOME,CEP,CODESCOLA,SITUACAO,ORIGEM,COORDX,COORDY,Id
1,Rua José Senilde Souza Lisboa,Urbana,"",Out/2010,(27) 3751-3204,3203601,IJSN,Municipal,195,Sim,Fundamental,Mucurici,Centro,EMEF,Escola Municipal de Ensino Fundamental,EMEF Beijamim Mendes de Souza,29880-000,32015402,EM ATIVIDADE,"","-40,5478813835762","-17,9392089508829",1
2,Rua Itabunas,Urbana,"",Out/2010,(27) 3751-3298,3203601,IJSN,Estadual,15,Sim,Médio,Mucurici,Centro,EEEM,Escola Estadual de Ensino Médio,EEEM de Itabaiana,29884-000,32015380,EM ATIVIDADE,"","-40,5527056582994","-17,9376995261656",2
3,Rua Avenida Bento Daher,Urbana,"",Out/2010,(27) 3762-5226,3201605,IJSN,Municipal,s/n,Sim,Infantil,Conceição da Barra,Comunidade Itaúnas,CMEI,Centro Municipal de Educação Infantil,CMEI Ciranda Cirandinha,29960-000,32074581,EM ATIVIDADE,"","-39,7081444940751","-18,4192444408822",3
4,Assentamento Pontal Jundiá,Rural,"",Out/2010,"",3201605,IJSN,Estadual,s/n,Sim,Fundamental,Conceição da Barra,Comunidade Jundiá,EEEF,Escola Estadual de Ensino Fundamental,EEEF Assentamento União,29960-000,32016352,EM ATIVIDADE,"","-39,9144161765781","-18,3935526994293",4
5,Assentamento Pontal Jundiá,Rural,"",Out/2010,"",3201605,IJSN,Municipal,s/n,Sim,Infantil,Conceição da Barra,Comunidade Jundiá,UPE,Unidade Pré Escolar,UPEM Assentamento União,29960-000,32075197,EM ATIVIDADE,"","-39,9143839484688","-18,3933864534381",5
6,"",Rural,"",Out/2010,"",3201605,IJSN,Municipal,s/n,Sim,Fundamental,Conceição da Barra,Comunidade Itaúnas,EU MUL,Escola Unidocente Municipal,EU MUL Fazenda Maria Gorete,29960-000,32016557,EM ATIVIDADE,"","-39,7444139294385","-18,386864278335",6
7,Assentamento Rio Preto e Itaúnas,Rural,"",Out/2010,"",3201605,IJSN,Estadual,s/n,Sim,Fundamental,Conceição da Barra,Comunidade Jundiá,EEPEF,Escola Estadual Pluridocente de Ensino Fundamental,EEPEF São Benedito,29960-000,32016441,EM ATIVIDADE,"","-39,8782591245635","-18,3838318530257",7
8,"",Urbana,Construída,Out/2010,"",3204104,IJSN,Municipal,s/n,Sim,Infantil,Pinheiros,Comunidade Lagoa Seca,EMEIEF,Escola Municipal de Ensino Infantil e Fundamental,EMEIEF Lagoa Seca,29980-000,32015615,EM ATIVIDADE,Mapeamento Realizado pela CGEO/IJSN,"-39,9482268095027","-18,3771452327714",8
9,Rodovia ES 209,Rural,"",Out/2010,(27) 37622549,3201605,IJSN,Estadual,s/n,Sim,Fundamental,Conceição da Barra,Comunidade Cedro,EEEF,Escola Estadual de Ensino Fundamental,EEEF Córrego do Cedro,29960-000,32016506,EM ATIVIDADE,"","-39,7886766728168","-18,3659527322191",9
10,Assentamento Paulo Vinhas,Rural,"",Out/2010,(27) 3762-0239 / 3762-2549,3201605,IJSN,Municipal,s/n,Sim,Infantil,Conceição da Barra,Comunidade Cedro,UPE,Unidade Pré Escolar,UPEM Córrego do Cedro,29960-000,32075200,EM ATIVIDADE,"","-39,7887546988383","-18,3658562688701",10
11,"",Rural,"",Out/2010,(27) 3762-0239,3201605,IJSN,Municipal,s/n,Sim,Infantil,Conceição da Barra,Comunidade Córrego das Palmeiras,UPE,Unidade Pré Escolar,UPE Córrego das Palmeiras,29960-000,32076185,EM ATIVIDADE,"","-39,9172654218386","-18,3310755681756",11
12,"",Rural,"",Out/2010,(27) 3762-0239,3201605,IJSN,Municipal,s/n,Sim,Fundamental,Conceição da Barra,Comunidade Córrego das Palmeiras,EMEF,Escola Municipal de Ensino Fundamental,EMEF Córrego das Palmeiras,29967-000,32016549,EM ATIVIDADE,"","-39,9171676764562","-18,3310316909331",12
13,"",Rural,"",Out/2010,(27) 3762-3054 / 3762-0238,3201605,IJSN,Municipal,s/n,Sim,Fundamental,Conceição da Barra,Comunidade Córrego das Palmeiras,EMEF,Escola Municipal de Ensino Fundamental,EMEF Emilio Lagarsse,29960-000,32077874,EM ATIVIDADE,"","-39,9170037088543","-18,3281145391679",13
14,Assentamento Nova Conquista,Rural,"",Out/2010,(27) 3765-1762,3204104,IJSN,Privada,s/n,Sim,Fundamental,Pinheiros,Comunidade Polonesa,EFA,Escola Família Agrícola,EFA de Pinheiros,29980-000,32015674,EM ATIVIDADE,"","-39,9584104675405","-18,320745162889",14
15,Assentamento Valdicio Barbosa dos Santos,Rural,"",Out/2010,(27) 3762-0239,3201605,IJSN,Municipal,s/n,Sim,Infantil,Conceição da Barra,Comunidade Morro dos Parentes,UPE,Unidade Pré Escolar,UPE Valdicio Barbosa dos Santos,29960-000,32075189,EM ATIVIDADE,"","-39,852705805098","-18,3153817663717",15
