id_ies,nome,tipo_instituicao,rede,situacao_funcionamento,id_municipio,sigla_uf
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,Pública,Federal,Ativa,5103403,MT
2,UNIVERSIDADE DE BRASILIA,Pública,Federal,Ativa,5300108,DF
3,UNIVERSIDADE FEDERAL DE SERGIPE,Pública,Federal,Ativa,2806701,SE
4,UNIVERSIDADE FEDERAL DO AMAZONAS,Pública,Federal,Ativa,1302603,AM
5,UNIVERSIDADE FEDERAL DO PIAUI,Pública,Federal,Ativa,2211001,PI
6,UNIVERSIDADE FEDERAL DE OURO PRETO,Pública,Federal,Ativa,3146107,MG
7,UNIVERSIDADE FEDERAL DE SAO CARLOS,Pública,Federal,Ativa,3548906,SP
8,UNIVERSIDADE FEDERAL DE VICOSA,Pública,Federal,Ativa,3171303,MG
9,UNIVERSIDADE ESTADUAL DE LONDRINA,Pública,Estadual,Ativa,4113700,PR
10,PONTIFICIA UNIVERSIDADE CATOLICA DO PARANA,Privada,Privada,Ativa,4106902,PR
11,UNIVERSIDADE CATOLICA DE PERNAMBUCO,Privada,Privada,Ativa,2611606,PE
12,UNIVERSIDADE FEDERAL DO RIO GRANDE,Pública,Federal,Ativa,4315602,RS
13,UNIVERSIDADE DE CAXIAS DO SUL,Privada,Privada,Ativa,4305108,RS
14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,Privada,Privada,Ativa,4318705,RS
15,UNIVERSIDADE CATOLICA DE PETROPOLIS,Privada,Privada,Ativa,3303906,RJ
16,UNIVERSIDADE GAMA FILHO,Privada,Privada,Ativa,3304557,RJ
17,UNIVERSIDADE FEDERAL DE UBERLANDIA,Pública,Federal,Ativa,3170206,MG
18,UNIVERSIDADE CATOLICA DE PELOTAS,Privada,Privada,Ativa,4314407,RS
19,PONTIFICIA UNIVERSIDADE CATOLICA DE CAMPINAS,Privada,Privada,Ativa,3509502,SP
20,UNIVERSIDADE DE PASSO FUNDO,Privada,Privada,Ativa,4314100,RS
21,PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL,Privada,Privada,Ativa,4314902,RS
22,UNIVERSIDADE PRESBITERIANA MACKENZIE,Privada,Privada,Ativa,3550308,SP
23,UNIVERSIDADE FEEVALE,Privada,Privada,Ativa,4313409,RS
24,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,Pública,Estadual,Ativa,2913606,BA
26,ESCOLA NACIONAL DE CIENCIAS ESTATISTICAS,Pública,Federal,Ativa,3304557,RJ
